serial_timesteps,explained_variance,policy_loss,policy_entropy,ep_reward_mean,n_updates,ep_len_mean,clipfrac,time_elapsed,fps,value_loss,total_timesteps,approxkl
2048,-0.3615760803222656,-0.0038291626,1.4182837,182.4800875,1,938.5,0.046679687,3.337860107421875e-06,522,4.800489,2048,0.004351925
4096,0.19058656692504883,-0.0063143587,1.4121212,113.78485214285713,2,576.4285714285714,0.06123047,3.918529987335205,551,4.667538,4096,0.0047302325
6144,0.0294114351272583,-0.0023274221,1.3990343,69.59867835294118,3,357.4117647058824,0.029589843,7.634060621261597,590,3.6749458,6144,0.0030093929
8192,-0.12851548194885254,-0.0024870667,1.4006616,59.205180740740744,4,299.51851851851853,0.018164063,11.103077411651611,601,4.23284,8192,0.0023162114
10240,0.14912259578704834,-0.00235698,1.3992517,55.14409102702702,5,275.72972972972974,0.0146484375,14.50893783569336,577,3.9844887,10240,0.0018642226
12288,0.16592705249786377,-0.0032150664,1.39332,56.46815911363637,6,277.47727272727275,0.030664062,18.056477069854736,577,4.7100472,12288,0.0031340073
14336,0.5417889654636383,-0.005410518,1.4022804,51.65898410714285,7,253.82142857142858,0.05546875,21.605892419815063,594,2.851272,14336,0.0047893813
16384,0.515366405248642,-0.0024240483,1.4140742,53.426995793650796,8,259.22222222222223,0.02475586,25.053921937942505,615,3.9874527,16384,0.0027585758
18432,0.7079601287841797,-0.0010765184,1.4180892,53.17805623943661,9,257.50704225352115,0.017236328,28.38452124595642,603,2.8143067,18432,0.0022419954
20480,0.8345180749893188,-0.0063768355,1.4175702,52.4352381392405,10,255.37974683544303,0.07290039,31.777446269989014,565,1.884464,20480,0.005605031
22528,0.8685163706541061,-0.005263337,1.417908,53.928347523809514,11,264.35714285714283,0.07299805,35.40124559402466,633,1.823103,22528,0.005849544
24576,0.8472615331411362,-0.004784108,1.4151663,55.52223724418603,12,273.33720930232556,0.058935545,38.63445425033569,639,2.4409494,24576,0.0048031947
26624,0.8324155211448669,-0.002151148,1.4146807,59.50839239080457,13,293.7471264367816,0.047949217,41.839763164520264,646,2.5396326,26624,0.0045082667
28672,0.18713361024856567,-0.0020892965,1.4001386,64.11234335227272,14,313.6931818181818,0.05834961,45.00778913497925,640,2.5525362,28672,0.0051483028
30720,0.09058123826980591,-0.0068408684,1.4029043,68.59169893258426,15,333.19101123595505,0.10869141,48.20644569396973,633,2.3966453,30720,0.007998446
32768,0.39156532287597656,-0.001068876,1.407865,73.21862038888888,16,352.25555555555553,0.026220703,51.44113779067993,643,2.306027,32768,0.0027992423
34816,0.23289549350738525,-0.002054669,1.4034569,77.87482508791209,17,370.9010989010989,0.05,54.62578511238098,635,2.207175,34816,0.004125853
36864,0.05938142538070679,-0.00020872494,1.4065677,82.15290285869564,18,389.14130434782606,0.01796875,57.85170650482178,641,1.968602,36864,0.0022840514
38912,0.34107381105422974,-0.0023770158,1.399799,86.33267733333332,19,406.98924731182797,0.03173828,61.04680323600769,631,1.6912148,38912,0.0031423245
40960,0.007533431053161621,-0.0023413848,1.3993258,90.55382606382977,20,424.4574468085106,0.050341796,64.2899284362793,624,1.9064881,40960,0.004333394
43008,0.17818880081176758,-0.0036954521,1.4090108,94.87696599999998,21,441.5578947368421,0.057910156,67.57198548316956,637,1.717181,43008,0.004863037
45056,0.3209812045097351,-0.0046182824,1.410799,98.68927448958333,22,458.3020833333333,0.09125976,70.7869234085083,634,1.5131414,45056,0.006774024
47104,0.29996055364608765,-0.000558945,1.4161187,102.7854022371134,23,474.70103092783506,0.03022461,74.01780796051025,546,1.82037,47104,0.002914687
49152,0.42770880460739136,-0.0030529678,1.4120271,106.59982006122448,24,490.765306122449,0.0680664,77.76886582374573,552,1.3077865,49152,0.0059828865
51200,0.6872756779193878,-0.0027620567,1.4046482,110.81247711,25,510.72,0.027636718,81.47485303878784,536,1.3009214,51200,0.00300781
53248,0.8186610788106918,-0.0059592784,1.4001377,113.58502034000001,26,522.6,0.06943359,85.30392599105835,616,1.1042428,53248,0.00553451
55296,0.7751592695713043,-0.0018532211,1.383403,115.17200799,27,529.18,0.034326173,88.62975192070007,638,0.91320056,55296,0.0033614985
57344,0.6243245303630829,-0.0016595846,1.3653733,118.73790277,28,545.21,0.07695313,91.83593583106995,628,0.7590496,57344,0.006174783
59392,0.23060625791549683,-0.0014572928,1.3518008,121.79592276,29,558.68,0.040136717,95.09610295295715,633,0.9746634,59392,0.0038422798
61440,0.15392369031906128,0.0004465037,1.3367227,126.11447900000002,30,576.47,0.028466797,98.33031964302063,629,1.032591,61440,0.0029033418
63488,0.1799830198287964,-0.0010673257,1.3330055,129.98315688,31,592.95,0.027636718,101.58708429336548,566,0.968832,63488,0.0027423745
65536,0.30616843700408936,-0.0014468257,1.3294123,134.02231188,32,610.05,0.030908203,105.20114922523499,592,0.974182,65536,0.0030908955
67584,0.3121669292449951,-0.0014207897,1.3287705,138.53865288999998,33,628.56,0.039794922,108.66012525558472,634,1.1446974,67584,0.0036345657
69632,0.3466801643371582,-0.0021544662,1.3262125,143.19876623,34,647.11,0.041552734,111.88720631599426,612,1.1307641,69632,0.003898044
71680,0.24144762754440308,0.00035656136,1.3172716,148.09183539000003,35,666.06,0.051123045,115.23085975646973,590,1.1133142,71680,0.0044664335
73728,0.21643680334091187,-0.0020991482,1.3102738,152.80595474,36,684.31,0.0847168,118.70009589195251,588,1.0183482,73728,0.006446419
75776,0.20842742919921875,-0.00042988377,1.3168077,157.23017363000002,37,700.96,0.038183592,122.18022751808167,617,1.0095928,75776,0.0034366897
77824,0.006196022033691406,-0.0021163926,1.3205113,161.89640198000004,38,719.62,0.043017577,125.49728059768677,596,1.1019663,77824,0.0038033698
79872,0.12584251165390015,5.3934946e-05,1.3151028,166.56480275,39,738.0,0.048291016,128.9325873851776,612,1.010968,79872,0.0040420736
81920,0.08151471614837646,-0.0021685432,1.3189867,171.42371115000003,40,756.73,0.064892575,132.27696108818054,610,1.057777,81920,0.005114287
83968,0.0670539140701294,-0.0022262752,1.3319201,176.35718218000002,41,775.77,0.049609374,135.63421535491943,647,1.0299151,83968,0.0041056266
86016,0.07137137651443481,-0.00055578107,1.3607923,181.21294561,42,794.54,0.041748047,138.7969627380371,631,1.0433255,86016,0.0037031758
88064,0.06643950939178467,-0.0013447972,1.3821152,186.29926877999998,43,813.53,0.0340332,142.03937125205994,639,1.1445496,88064,0.003124571
90112,0.07403534650802612,-0.00080944475,1.3896762,191.44080010999997,44,832.17,0.059570312,145.2440664768219,587,1.1305039,90112,0.004761731
92160,0.07419478893280029,-0.0011536289,1.3838425,196.43244861,45,850.08,0.047607422,148.72823929786682,575,1.2501976,92160,0.0040928246
94208,0.025170505046844482,-0.0029732015,1.3817719,201.63950001,46,867.93,0.03984375,152.28807258605957,533,1.3221756,94208,0.0038131787
96256,0.024742960929870605,-0.0017536447,1.3897485,207.10904879999998,47,887.0,0.03881836,156.12816977500916,616,1.3666087,96256,0.0034816545
98304,0.05770343542098999,-0.0023287,1.395025,212.75603646,48,905.66,0.053222656,159.4531021118164,617,1.5095909,98304,0.0045912224
100352,0.044019222259521484,-0.0009422785,1.389936,218.55028599000002,49,924.81,0.035351563,162.77230167388916,612,1.4635694,100352,0.0035462354
102400,0.06761765480041504,-0.0050301035,1.3860693,223.7379313,50,941.24,0.05332031,166.1175000667572,616,1.6118221,102400,0.0042087166
104448,0.065929114818573,-0.0014328909,1.3930317,229.79814679000003,51,960.37,0.016259765,169.44340062141418,599,1.676655,104448,0.0018236833
106496,0.02743065357208252,-0.0031550284,1.4030482,235.66620183000003,52,979.33,0.037841797,172.8631157875061,593,1.6572325,106496,0.0037658573
108544,0.04027825593948364,-0.00059942866,1.397751,241.58549651,53,997.99,0.014111328,176.31560254096985,614,1.6676353,108544,0.0019554654
110592,0.08492851257324219,0.00031981734,1.3914355,247.66893504,54,1016.87,0.020458985,179.65077352523804,591,1.7402347,110592,0.0023713647
112640,0.040851891040802,-0.0034487948,1.3993464,253.69270306999996,55,1035.98,0.055371094,183.11499333381653,609,1.6922462,112640,0.0047793807
114688,0.05794799327850342,-0.0028308872,1.4097129,259.54988681,56,1052.51,0.047021486,186.47614932060242,587,1.9838645,114688,0.004065333
116736,0.12046706676483154,-0.0042900536,1.4063694,265.89947002,57,1071.07,0.03203125,189.9605689048767,588,2.078324,116736,0.003323463
118784,0.13801467418670654,-0.0012622073,1.4188917,271.90492988,58,1087.98,0.04145508,193.44162583351135,576,1.9079508,118784,0.0036384172
120832,0.12808144092559814,-0.0019766758,1.43947,278.38501775000003,59,1106.98,0.046582032,196.99236035346985,589,1.93346,120832,0.0037904766
122880,0.19399809837341309,-0.002038893,1.4367771,285.42788390000004,60,1125.88,0.05239258,200.4661741256714,553,2.669347,122880,0.004301043
124928,0.10037332773208618,-0.001670934,1.435565,291.52923344000004,61,1143.75,0.06035156,204.16664123535156,569,1.8713639,124928,0.0050296667
126976,0.19370973110198975,-0.00085986155,1.4271818,298.57260137,62,1163.08,0.02836914,207.76440477371216,596,2.4413702,126976,0.003094291
129024,0.08981406688690186,-0.0020079585,1.4235711,303.37127423000004,63,1179.15,0.046679687,211.20075917243958,586,1.6248604,129024,0.0039572828
131072,0.010323941707611084,-0.00024318125,1.4330245,308.55988644,64,1197.49,0.059033204,214.69425868988037,612,1.5325949,131072,0.0048188847
133120,0.08116424083709717,-0.00026576305,1.4539899,313.29183292,65,1213.3,0.037597656,218.0391969680786,621,1.4578277,133120,0.0034818284
135168,0.03251004219055176,-0.003352223,1.4693934,318.99286435,66,1232.46,0.06499024,221.33808135986328,575,1.6937072,135168,0.005236883
137216,0.05994737148284912,-0.0017720159,1.4859091,324.65823734,67,1251.43,0.05605469,224.89628958702087,611,1.5665925,137216,0.004675638
139264,0.13354718685150146,-0.0010599648,1.4836962,329.94342099,68,1268.68,0.03300781,228.24791193008423,586,1.5313284,139264,0.003335851
141312,0.11231505870819092,-0.003829768,1.4860758,334.79669685,69,1286.44,0.13583985,231.73870158195496,630,1.5008255,141312,0.009509057
143360,0.06510424613952637,-0.0012815098,1.4842678,339.96090533999995,70,1305.01,0.03828125,234.98795819282532,629,1.5505497,143360,0.0038170703
145408,0.3575226068496704,-0.0035149436,1.4946649,346.10688475,71,1324.19,0.047167968,238.23979830741882,589,1.5322578,145408,0.0040739086
147456,0.1845201849937439,-0.0029950563,1.5116389,354.27676532,72,1342.98,0.027392577,241.71343207359314,554,5.7891912,147456,0.0029168979
149504,0.2911756634712219,-0.0028595163,1.5082787,361.56113003999997,73,1362.12,0.031933594,245.40652894973755,595,3.2788062,149504,0.0031268257
151552,0.15667086839675903,-0.0028222292,1.5024502,369.82209603999996,74,1380.17,0.037988283,248.84778141975403,606,5.9735537,151552,0.0035968903
153600,0.3173852562904358,-0.001668343,1.4998066,378.79850443,75,1399.22,0.02060547,252.22517347335815,624,6.3179803,153600,0.0024166193
155648,0.3653991222381592,-0.007334004,1.4764377,384.33320848000005,76,1412.08,0.042041015,255.50756406784058,592,4.6608343,155648,0.0039994125
157696,0.4179803729057312,-0.0010202845,1.4732791,388.48468133,77,1421.43,0.025195312,258.96766781806946,580,5.057288,157696,0.002604526
159744,0.3536800742149353,-5.1732313e-05,1.4763637,397.3488441,78,1440.61,0.01015625,262.49914836883545,606,6.846816,159744,0.0017446481
