serial_timesteps,ep_reward_mean,approxkl,clipfrac,time_elapsed,policy_entropy,fps,value_loss,ep_len_mean,policy_loss,explained_variance,n_updates,total_timesteps
2048,116.23557433333333,0.001586219,0.012646484,2.86102294921875e-06,1.4192939,568,4.51336,606.3333333333334,-0.0015884619,-0.04945850372314453,1,2048
4096,110.38907666666667,0.0044310624,0.05678711,3.604583740234375,1.4310282,637,5.2360253,565.5,-0.0058397884,0.06908434629440308,2,4096
6144,136.775378375,0.0031018958,0.035107423,6.815823316574097,1.4478663,631,5.9489274,671.5,-0.005715548,0.008005738258361816,3,6144
8192,173.12514177777777,0.0033582374,0.03491211,10.060220956802368,1.4626215,628,5.5162263,824.5555555555555,-0.0019935449,-0.06995904445648193,4,8192
10240,175.151261,0.0010009977,0.0039550783,13.32063627243042,1.4631972,627,5.482409,829.4,-0.00010187468,-0.07362997531890869,5,10240
12288,198.42131283333336,0.0009960489,0.0034179688,16.584405183792114,1.4610913,624,4.9508696,928.1666666666666,-0.0010797986,0.04049044847488403,6,12288
14336,220.93007930769232,0.002939778,0.025683593,19.866426467895508,1.4498881,630,6.528001,1014.3846153846154,-0.0025976845,-0.1533050537109375,7,14336
16384,245.7280653571429,0.004081403,0.049804688,23.11396551132202,1.4495167,602,8.8976345,1088.2857142857142,-0.003865933,-0.10866057872772217,8,16384
18432,268.0269237333334,0.0022752373,0.022216797,26.51606512069702,1.4579759,624,6.6930723,1152.3333333333333,-0.0020815937,-0.03026258945465088,9,18432
20480,283.5990360625,0.003406868,0.034472656,29.794930696487427,1.4726433,631,5.234512,1208.375,-0.0026326268,-0.10894560813903809,10,20480
22528,295.94618335294115,0.0035609049,0.037402343,33.03971862792969,1.4829257,591,4.072643,1257.8235294117646,-0.0018771784,-0.092995285987854,11,22528
24576,305.10996627777774,0.0041098446,0.046923827,36.504568576812744,1.4975841,619,3.7069886,1301.7777777777778,-0.0036049983,-0.2637333869934082,12,24576
26624,314.37615194736844,0.0024422463,0.018652344,39.8135769367218,1.5026269,614,4.7996435,1341.1052631578948,-0.0012056201,-0.3273125886917114,13,26624
28672,325.9214796,0.003606161,0.03671875,43.14604091644287,1.496912,631,4.858862,1376.5,-0.0012209817,-0.28083980083465576,14,28672
30720,334.37059366666665,0.002978379,0.029101562,46.39183306694031,1.5001198,629,4.6041727,1408.5238095238096,-0.0012611649,-0.15103018283843994,15,30720
32768,343.91357281818176,0.0017700742,0.011083985,49.64540672302246,1.5051563,604,4.388799,1437.6363636363637,-0.00045769004,-0.16320884227752686,16,32768
34816,352.15537778260864,0.0012725127,0.0077636717,53.03259086608887,1.5064797,614,6.346577,1464.2173913043478,-0.00066715863,-0.08861148357391357,17,34816
36864,363.52521962500003,0.0023600438,0.017236328,56.3638117313385,1.504323,610,6.2729945,1488.5833333333333,-0.0010874358,-0.057810425758361816,18,36864
38912,373.08917679999996,0.002780566,0.023632813,59.71918249130249,1.494381,602,5.7403755,1511.0,-0.0013251925,0.061126530170440674,19,38912
40960,381.7323903076923,0.0046336977,0.053222656,63.120919704437256,1.4795592,622,3.8386455,1531.6923076923076,-0.003445251,0.016669034957885742,20,40960
43008,386.35341462962964,0.0021264858,0.017919922,66.4104356765747,1.4801195,642,3.3434787,1550.851851851852,-5.2374606e-05,-0.0676342248916626,21,43008
45056,391.77686957142856,0.0023960872,0.021630859,69.5980236530304,1.486299,630,3.9363308,1568.642857142857,-0.001689356,-0.0602337121963501,22,45056
47104,398.7474274827586,0.0035008204,0.040283203,72.84798121452332,1.4968146,614,3.587853,1585.2068965517242,-0.0019491318,-0.21244239807128906,23,47104
49152,403.1675936333333,0.0033293949,0.031396486,76.17995572090149,1.4984844,636,3.2140694,1600.6666666666667,-0.0006051458,-0.12888360023498535,24,49152
51200,407.8718294516129,0.0043825097,0.054345705,79.39749121665955,1.4942684,646,2.967484,1615.1290322580646,-0.0022340086,-0.06400442123413086,25,51200
53248,412.09272699999997,0.0035911854,0.04042969,82.58026123046875,1.5067364,641,2.7152143,1628.6875,-0.0017326021,0.049516916275024414,26,53248
55296,415.245926030303,0.0043658754,0.048876952,85.77129578590393,1.5090339,632,3.2499518,1641.4242424242425,-0.0028420675,-0.023824453353881836,27,55296
57344,421.2886185588235,0.0046778545,0.054248046,89.00932240486145,1.5170529,616,4.2699804,1653.4117647058824,-0.0024526224,-0.003648996353149414,28,57344
59392,426.1887016857142,0.0037284333,0.039941408,92.33203077316284,1.5242074,620,3.9874775,1664.7142857142858,-0.0019083247,0.05082082748413086,29,59392
61440,431.798218611111,0.003008547,0.028857421,95.63527941703796,1.522849,626,3.2942653,1675.388888888889,-0.0016064061,-0.15197598934173584,30,61440
63488,434.5908249729729,0.0034717086,0.039160155,98.90590047836304,1.5317189,638,2.5210986,1685.4864864864865,-0.0028270069,-0.024616718292236328,31,63488
65536,438.12129513157885,0.0033194304,0.03125,102.11274194717407,1.5350188,636,2.0407395,1695.0526315789473,-0.0029427363,-0.03312981128692627,32,65536
67584,440.8790005384614,0.0027389326,0.02578125,105.33283376693726,1.5235816,625,2.329329,1704.128205128205,-0.0023236764,0.14765268564224243,33,67584
69632,443.76917525,0.002166471,0.016210938,108.60985660552979,1.5135019,628,2.1151116,1712.75,-0.00039398894,-0.0867537260055542,34,69632
71680,446.17677109756096,0.0014326962,0.008007812,111.86744689941406,1.4922591,629,1.9463189,1720.9512195121952,-0.0006946305,0.09073817729949951,35,71680
